STRUCTURE,STRUCTURE_ID,ACTION,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,COMMENT_OBS,EMBARGO_DATE,REF_PERIOD_DETAIL,REPYEARSTART,REPYEAREND,TIME_FORMAT,TIME_PER_COLLECT,REF_YEAR_PRICE,DECIMALS,TABLE_IDENTIFIER,TITLE,TITLE_COMPL,UNIT_MULT,LAST_UPDATE,COMPILING_ORG,COMMENT_DSET,COMMENT_TS,PRE_BREAK_VALUE,DATA_COMP,Currency,DISS_ORG
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2000,n/a,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2001,n/a,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2002,453.484,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2003,492.903,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2004,496.209,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2005,554.91,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2006,584.658,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2007,662.65,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2008,688.247,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2009,829.924,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2010,899.956,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2011,958.266,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2012,1092.118,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2013,1154.178,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2014,1185.306,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2015,1197.012,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2016,1222.917,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2017,1255.288,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2018,1270.216,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2019,1319.902,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2020,1288.869,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2021,1101.445,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2022,1032.712,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2023,1060.708,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2024,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2025,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2026,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2027,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2028,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,Q,N,2029,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2000,n/a,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2001,n/a,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2002,178.756,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2003,220.013,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2004,246.21,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2005,304.926,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2006,345.817,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2007,427.495,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2008,517.509,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2009,607.227,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2010,711.759,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2011,836.222,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2012,1033.591,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2013,1116.827,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2014,1183.039,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2015,1226.57,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2016,1222.917,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2017,1285.46,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2018,1327.69,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2019,1469.596,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2020,1547.289,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2021,1251.172,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2022,1283.442,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2023,1357.275,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2024,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2025,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2026,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2027,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2028,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,XDC,V,N,2029,n/a,p,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,USD,V,N,2000,n/a,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,USD,V,N,2001,n/a,e,,,,,,,,,,,,,,,,,,,,,,
DATAFLOW,ECA-NA-SDMX-00x00,I,A,N,AFG,_Z,S1,S1,B,B1GQ,_Z,_Z,_Z,USD,V,N,2002,4.367,e,,,,,,,,,,,,,,,,,,,,,,
